trial,state,objective_neg_log_loss,best_so_far,datetime_start,datetime_complete,duration_seconds,param_max_depth,param_min_samples_leaf,param_max_features
0,COMPLETE,-0.2917588708560492,-0.2917588708560492,2026-08-10 15:04:59.825739,2026-08-10 15:06:38.741236,98.915497,10,109,sqrt
1,COMPLETE,-0.29004099976942566,-0.29004099976942566,2026-08-10 15:06:38.748316,2026-08-10 15:12:50.309770,371.561454,6,91,0.5
2,COMPLETE,-0.2881523408722404,-0.2881523408722404,2026-08-10 15:12:50.320940,2026-08-10 15:24:00.232060,669.91112,16,23,0.5
3,COMPLETE,-0.2903636752912625,-0.2881523408722404,2026-08-10 15:24:00.241336,2026-08-10 15:25:50.912230,110.670894,11,27,sqrt
4,COMPLETE,-0.288969149251669,-0.2881523408722404,2026-08-10 15:25:50.919672,2026-08-10 15:31:44.084228,353.164556,11,76,0.3
5,COMPLETE,-0.28802738333493083,-0.28802738333493083,2026-08-10 15:31:44.093907,2026-08-10 15:37:58.603203,374.509296,13,21,0.3
6,RUNNING,,-0.28802738333493083,2026-08-10 15:37:58.608793,,,9,18,sqrt
7,COMPLETE,-0.2917588708560492,-0.28802738333493083,2026-08-10 16:55:37.854127,2026-08-10 16:57:22.677087,104.82296,10,109,sqrt
8,COMPLETE,-0.29004099976942566,-0.28802738333493083,2026-08-10 16:57:22.685242,2026-08-10 17:06:37.943474,555.258232,6,91,0.5
9,RUNNING,,-0.28802738333493083,2026-08-10 17:06:37.970457,,,16,23,0.5
