feature,rank_shap,rank_permutation,rank_gain,rank_disagreement
discharge_disposition,1,1,3,2
diag_1_group,2,4,4,2
number_inpatient,3,2,16,14
payer_code,4,3,7,4
time_in_hospital,5,5,5,0
medical_specialty,6,7,6,1
age_midpoint,7,25,10,18
diag_2_group,8,8,8,0
prior_utilisation_total,9,39,15,30
diag_3_group,10,6,9,4
admission_source,11,21,12,10
num_lab_procedures,12,41,1,40
num_medications,13,38,2,36
number_diagnoses,14,11,11,3
n_diabetes_meds,15,14,20,6
age_band,16,22,19,6
insulin,17,34,17,17
metformin,18,40,26,22
diabetesMed,19,29,37,18
admission_type,20,15,14,6
race,21,9,18,12
n_meds_changed,22,19,29,10
number_emergency,23,36,25,13
comorbidity_breadth,24,31,24,7
glipizide,25,16,28,12
A1Cresult,26,37,22,15
A1C_tested_x_change,27,27,23,4
num_procedures,28,35,13,22
gender,29,12,21,17
number_outpatient,30,17,27,13
A1C_tested,31,32,38,7
pioglitazone,32,13,33,20
max_glu_serum,33,18,31,15
repaglinide,34,10,32,24
glyburide,35,30,30,5
change,36,28,35,8
rosiglitazone,37,33,34,4
glimepiride,38,20,36,18
glucose_tested,39,24,40,16
nateglinide,40,26,39,14
glyburide-metformin,41,23,41,18
