variable,level,overall,not_readmitted,readmitted_lt30,smd
N,,"69,987","63,702","6,285",
race,Caucasian,"52,305 (74.7%)","47,498 (74.6%)","4,807 (76.5%)",0.045
race,AfricanAmerican,"12,627 (18.0%)","11,532 (18.1%)","1,095 (17.4%)",-0.018
race,Unknown,"1,917 (2.7%)","1,776 (2.8%)",141 (2.2%),-0.035
race,Hispanic,"1,501 (2.1%)","1,379 (2.2%)",122 (1.9%),-0.016
race,Other,"1,149 (1.6%)","1,070 (1.7%)",79 (1.3%),-0.035
race,Asian,488 (0.7%),447 (0.7%),41 (0.7%),-0.006
gender,Female,"37,239 (53.2%)","33,874 (53.2%)","3,365 (53.5%)",0.007
gender,Male,"32,748 (46.8%)","29,828 (46.8%)","2,920 (46.5%)",-0.007
time_in_hospital,mean (SD),4.27 (2.93),4.22 (2.92),4.79 (3.06),0.192
payer_code,Unknown,"30,415 (43.5%)","27,406 (43.0%)","3,009 (47.9%)",0.098
payer_code,MC,"19,795 (28.3%)","17,936 (28.2%)","1,859 (29.6%)",0.031
payer_code,HM,"3,984 (5.7%)","3,707 (5.8%)",277 (4.4%),-0.064
payer_code,BC,"3,397 (4.9%)","3,194 (5.0%)",203 (3.2%),-0.090
payer_code,SP,"3,303 (4.7%)","3,040 (4.8%)",263 (4.2%),-0.028
payer_code,MD,"2,167 (3.1%)","1,995 (3.1%)",172 (2.7%),-0.023
payer_code,CP,"1,937 (2.8%)","1,812 (2.8%)",125 (2.0%),-0.056
payer_code,UN,"1,855 (2.7%)","1,714 (2.7%)",141 (2.2%),-0.029
medical_specialty,Unknown,"33,652 (48.1%)","30,542 (47.9%)","3,110 (49.5%)",0.031
medical_specialty,InternalMedicine,"10,641 (15.2%)","9,602 (15.1%)","1,039 (16.5%)",0.040
medical_specialty,Other,"6,124 (8.8%)","5,631 (8.8%)",493 (7.8%),-0.036
medical_specialty,Family/GeneralPractice,"4,978 (7.1%)","4,493 (7.1%)",485 (7.7%),0.025
medical_specialty,Emergency/Trauma,"4,393 (6.3%)","4,049 (6.4%)",344 (5.5%),-0.037
medical_specialty,Cardiology,"4,207 (6.0%)","3,904 (6.1%)",303 (4.8%),-0.058
medical_specialty,Surgery-General,"2,205 (3.2%)","2,021 (3.2%)",184 (2.9%),-0.014
medical_specialty,Orthopedics,"1,128 (1.6%)","1,016 (1.6%)",112 (1.8%),0.015
num_lab_procedures,mean (SD),42.88 (19.89),42.68 (19.94),44.91 (19.34),0.114
num_procedures,mean (SD),1.43 (1.76),1.43 (1.76),1.42 (1.73),-0.001
num_medications,mean (SD),15.67 (8.29),15.57 (8.28),16.62 (8.32),0.126
number_outpatient,mean (SD),0.28 (1.06),0.28 (1.07),0.31 (1.05),0.030
number_emergency,mean (SD),0.10 (0.51),0.10 (0.50),0.15 (0.58),0.092
number_inpatient,mean (SD),0.18 (0.60),0.16 (0.55),0.37 (0.98),0.266
number_diagnoses,mean (SD),7.22 (2.00),7.20 (2.01),7.51 (1.85),0.165
max_glu_serum,Not measured,"66,638 (95.2%)","60,693 (95.3%)","5,945 (94.6%)",-0.031
max_glu_serum,Normal,"1,701 (2.4%)","1,535 (2.4%)",166 (2.6%),0.015
max_glu_serum,Elevated,"1,648 (2.4%)","1,474 (2.3%)",174 (2.8%),0.029
A1Cresult,Not measured,"57,141 (81.6%)","51,935 (81.5%)","5,206 (82.8%)",0.034
A1Cresult,>8,"6,239 (8.9%)","5,730 (9.0%)",509 (8.1%),-0.032
A1Cresult,Norm,"3,741 (5.3%)","3,418 (5.4%)",323 (5.1%),-0.010
A1Cresult,>7,"2,866 (4.1%)","2,619 (4.1%)",247 (3.9%),-0.009
metformin,No,"55,083 (78.7%)","50,037 (78.5%)","5,046 (80.3%)",0.043
metformin,Steady,"13,635 (19.5%)","12,498 (19.6%)","1,137 (18.1%)",-0.039
metformin,Up,834 (1.2%),776 (1.2%),58 (0.9%),-0.029
metformin,Down,435 (0.6%),391 (0.6%),44 (0.7%),0.011
repaglinide,No,"69,070 (98.7%)","62,899 (98.7%)","6,171 (98.2%)",-0.045
repaglinide,Steady,818 (1.2%),720 (1.1%),98 (1.6%),0.037
repaglinide,Up,71 (0.1%),56 (0.1%),15 (0.2%),0.037
repaglinide,Down,28 (0.0%),27 (0.0%),1 (0.0%),-0.016
nateglinide,No,"69,496 (99.3%)","63,249 (99.3%)","6,247 (99.4%)",0.013
nateglinide,Steady,467 (0.7%),429 (0.7%),38 (0.6%),-0.009
nateglinide,Up,16 (0.0%),16 (0.0%),0 (0.0%),-0.022
nateglinide,Down,8 (0.0%),8 (0.0%),0 (0.0%),-0.016
glimepiride,No,"66,289 (94.7%)","60,329 (94.7%)","5,960 (94.8%)",0.006
glimepiride,Steady,"3,332 (4.8%)","3,048 (4.8%)",284 (4.5%),-0.013
glimepiride,Up,230 (0.3%),207 (0.3%),23 (0.4%),0.007
glimepiride,Down,136 (0.2%),118 (0.2%),18 (0.3%),0.021
glipizide,No,"60,978 (87.1%)","55,571 (87.2%)","5,407 (86.0%)",-0.035
glipizide,Steady,"8,065 (11.5%)","7,298 (11.5%)",767 (12.2%),0.023
glipizide,Up,573 (0.8%),510 (0.8%),63 (1.0%),0.021
glipizide,Down,371 (0.5%),323 (0.5%),48 (0.8%),0.032
