attribute,level,n,events,prevalence,auroc,auroc_ci,ci_width,calibration_slope,calibration_intercept,sensitivity,ppv,alert_rate,precision_tier
race,AfricanAmerican,2504,231,0.0923,0.6755,0.641-0.710,0.0692,1.102,0.101,0.2251,0.2464,0.0843,Adequately powered
race,Asian,96,9,0.0938,,not estimable,,,,,,,Not estimable (n<200 or events<20)
race,Caucasian,10522,954,0.0907,0.6484,0.629-0.668,0.0393,1.026,0.001,0.2547,0.2387,0.0967,Adequately powered
race,Hispanic,286,30,0.1049,0.7118,0.601-0.809,0.2083,1.212,0.282,0.3333,0.3448,0.1014,Imprecise - descriptive only
race,Other,229,11,0.048,,not estimable,,,,,,,Not estimable (n<200 or events<20)
race,Unknown,361,22,0.0609,0.6817,0.573-0.780,0.2063,1.349,-0.256,0.1818,0.2222,0.0499,Imprecise - descriptive only
gender,Female,7507,664,0.0885,0.6645,0.643-0.686,0.0435,1.09,-0.017,0.262,0.2377,0.0975,Adequately powered
gender,Male,6491,593,0.0914,0.6516,0.630-0.678,0.0476,1.042,0.052,0.2395,0.2513,0.087,Adequately powered
age_band,40-64,3818,289,0.0757,0.6571,0.623-0.692,0.069,1.048,0.074,0.173,0.2618,0.05,Adequately powered
age_band,65-79,6731,652,0.0969,0.6452,0.621-0.669,0.0474,1.049,0.022,0.2761,0.2493,0.1073,Adequately powered
age_band,<40,879,55,0.0626,0.7349,0.664-0.794,0.1297,1.405,-0.073,0.2727,0.2941,0.058,Imprecise - descriptive only
age_band,>=80,2570,261,0.1016,0.6402,0.605-0.677,0.0713,1.107,-0.048,0.272,0.2132,0.1296,Adequately powered
