attribute,level,n,events,prevalence,estimable,auroc,auprc,calibration_slope,calibration_intercept,brier,sensitivity,ppv,alert_rate,equal_opportunity_difference
race,AfricanAmerican,2504,231,0.0923,True,0.6755,0.1803,1.102,0.101,0.0809,0.2251,0.2464,0.0843,-0.0263
race,Asian,96,9,0.0938,False,,,,,,,,,
race,Caucasian,10522,954,0.0907,True,0.6484,0.1986,1.026,0.001,0.079,0.2547,0.2387,0.0967,0.0033
race,Hispanic,286,30,0.1049,True,0.7118,0.2815,1.212,0.282,0.0884,0.3333,0.3448,0.1014,0.0819
race,Other,229,11,0.048,False,,,,,,,,,
race,Unknown,361,22,0.0609,True,0.6817,0.1876,1.349,-0.256,0.0552,0.1818,0.2222,0.0499,-0.0696
gender,Female,7507,664,0.0885,True,0.6645,0.191,1.09,-0.017,0.0773,0.262,0.2377,0.0975,0.0107
gender,Male,6491,593,0.0914,True,0.6516,0.2001,1.042,0.052,0.0795,0.2395,0.2513,0.087,-0.0119
age_band,40-64,3818,289,0.0757,True,0.6571,0.1712,1.048,0.074,0.0674,0.173,0.2618,0.05,-0.0784
age_band,65-79,6731,652,0.0969,True,0.6452,0.2034,1.049,0.022,0.0839,0.2761,0.2493,0.1073,0.0247
age_band,<40,879,55,0.0626,True,0.7349,0.2049,1.405,-0.073,0.0549,0.2727,0.2941,0.058,0.0213
age_band,>=80,2570,261,0.1016,True,0.6402,0.2022,1.107,-0.048,0.0878,0.272,0.2132,0.1296,0.0206
