trial,state,objective_neg_log_loss,best_so_far,datetime_start,datetime_complete,duration_seconds,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_lambda
0,COMPLETE,-0.5959360719300204,-0.5959360719300204,2026-08-09 19:11:47.382735,2026-08-09 19:12:29.545013,42.162278,600,0.2536999076681772,118,29,0.6624074561769746,0.662397808134481,0.0017073967431528124
1,COMPLETE,-0.39532851472674346,-0.39532851472674346,2026-08-09 19:12:29.554662,2026-08-09 19:13:25.355685,55.801023,1100,0.07725378389307355,111,5,0.9879639408647978,0.9329770563201687,0.0070689749506246055
2,COMPLETE,-0.28707811254906235,-0.28707811254906235,2026-08-09 19:13:25.363787,2026-08-09 19:13:45.917338,20.553551,400,0.018659959624904916,35,23,0.7727780074568463,0.7164916560792167,0.2801635158716261
3,COMPLETE,-0.5959360719300204,-0.28707811254906235,2026-08-09 19:13:57.448106,2026-08-09 19:14:40.780266,43.33216,600,0.2536999076681772,118,29,0.6624074561769746,0.662397808134481,0.0017073967431528124
4,COMPLETE,-0.39532851472674346,-0.28707811254906235,2026-08-09 19:14:40.789392,2026-08-09 19:15:37.611473,56.822081,1100,0.07725378389307355,111,5,0.9879639408647978,0.9329770563201687,0.0070689749506246055
5,COMPLETE,-0.5959360719300204,-0.28707811254906235,2026-08-09 20:23:56.272981,2026-08-09 20:24:39.840839,43.567858,600,0.2536999076681772,118,29,0.6624074561769746,0.662397808134481,0.0017073967431528124
6,COMPLETE,-0.39532851472674346,-0.28707811254906235,2026-08-09 20:24:39.849682,2026-08-09 20:25:31.652228,51.802546,1100,0.07725378389307355,111,5,0.9879639408647978,0.9329770563201687,0.0070689749506246055
7,COMPLETE,-0.28707811254906235,-0.28707811254906235,2026-08-09 20:25:31.660377,2026-08-09 20:25:49.776796,18.116419,400,0.018659959624904916,35,23,0.7727780074568463,0.7164916560792167,0.2801635158716261
8,COMPLETE,-0.2869454831322024,-0.2869454831322024,2026-08-09 20:25:49.784028,2026-08-09 20:26:04.655365,14.871337,300,0.027010527749605478,41,19,0.9140703845572055,0.6798695128633439,0.11400863701127326
9,COMPLETE,-0.2886367218483784,-0.2869454831322024,2026-08-09 20:26:04.663022,2026-08-09 20:26:58.454304,53.791282,800,0.011711509955524094,83,8,0.6260206371941118,0.9795542149013333,7.2866537374910445
10,COMPLETE,-0.2875926656047148,-0.2869454831322024,2026-08-09 20:26:58.461797,2026-08-09 20:27:10.451022,11.989225,200,0.03445639818969485,15,81,0.8749506209567681,0.8163775632702192,0.269008651246541
11,COMPLETE,-0.28714155880551606,-0.2869454831322024,2026-08-09 20:27:10.458818,2026-08-09 20:27:24.600739,14.141921,200,0.027846791109634155,43,18,0.8386647645094667,0.7644522988392318,0.16565680592797882
12,COMPLETE,-0.2880045465276449,-0.2869454831322024,2026-08-09 20:27:24.608809,2026-08-09 20:27:42.740969,18.13216,400,0.038780503847773734,36,12,0.7604603292118235,0.6029498274479523,1.4651339401605752
13,COMPLETE,-0.28771458405267636,-0.2869454831322024,2026-08-09 20:27:42.749184,2026-08-09 20:27:59.854575,17.105391,400,0.012079726022619712,19,49,0.9002026266476341,0.8068005390606677,0.05413299234062566
14,PRUNED,-0.29214480463265613,-0.2869454831322024,2026-08-09 20:27:59.862717,2026-08-09 20:28:11.502643,11.639926,300,0.021697669121403126,255,13,0.7602554281863704,0.7356056577882386,0.0401627903962234
15,PRUNED,-0.2983476609900516,-0.2869454831322024,2026-08-09 20:28:11.509989,2026-08-09 20:28:23.753898,12.243909,700,0.05066457031217618,58,48,0.9245797065317289,0.8412090209938898,1.0149711533225458
16,COMPLETE,-0.2868781629692393,-0.2868781629692393,2026-08-09 20:28:23.761809,2026-08-09 20:28:42.917969,19.15616,500,0.017223008021498697,25,15,0.8126434416562789,0.6020631769112417,0.05818287303588708
17,COMPLETE,-0.2868097044283557,-0.2868097044283557,2026-08-09 20:28:42.925775,2026-08-09 20:29:12.804132,29.878357,900,0.01403813329318447,23,9,0.8330043528976134,0.6018960478612357,0.03519254344175843
18,COMPLETE,-0.2870121460958033,-0.2868097044283557,2026-08-09 20:29:12.812166,2026-08-09 20:29:41.741355,28.929189,800,0.010118890785262756,24,9,0.8162954704478828,0.6108876105564788,0.022590912938207773
19,COMPLETE,-0.28707985981790607,-0.2868097044283557,2026-08-09 20:29:41.748233,2026-08-09 20:30:11.904435,30.156202,900,0.015147457353189838,25,8,0.7148416431944012,0.6261505947623661,0.019114323899990147
20,PRUNED,-0.32279083583267093,-0.2868097044283557,2026-08-09 20:30:11.912372,2026-08-09 20:30:26.704389,14.792017,1200,0.15013971957309138,24,12,0.8265363347680014,0.634034918085411,1.4807613337525471
21,COMPLETE,-0.2877041842950029,-0.2868097044283557,2026-08-09 20:30:26.711936,2026-08-09 20:30:48.832173,22.120237,500,0.026117627920317906,56,16,0.9189991401785472,0.6785600622219029,0.0837516064193444
22,COMPLETE,-0.2870562901252487,-0.2868097044283557,2026-08-09 20:30:48.839848,2026-08-09 20:31:16.672266,27.832418,900,0.014365099358010681,16,10,0.863668943605667,0.691953700396056,0.12611900305455864
