trial,state,objective_neg_log_loss,best_so_far,datetime_start,datetime_complete,duration_seconds,param_C,param_l1_ratio
0,COMPLETE,-0.2928037410933946,-0.2928037410933946,2026-08-09 21:52:03.649357,2026-08-09 21:53:06.619587,62.97023,0.017670169402947963,0.9507143064099162
1,COMPLETE,-0.2904080975974432,-0.2904080975974432,2026-08-09 21:53:06.626945,2026-08-09 21:54:06.693647,60.066702,2.465832945854912,0.5986584841970366
2,COMPLETE,-0.29680411923765904,-0.2904080975974432,2026-08-09 21:54:06.700982,2026-08-09 21:54:28.992270,22.291288,0.0008632008168602544,0.15599452033620265
3,COMPLETE,-0.3030592077177663,-0.2904080975974432,2026-08-09 21:54:28.998617,2026-08-09 21:54:33.788555,4.789938,0.00022310108018679258,0.8661761457749352
4,COMPLETE,-0.29034992246360397,-0.29034992246360397,2026-08-09 21:54:33.794889,2026-08-09 21:55:34.182435,60.387546,0.4042872735027334,0.7080725777960455
5,COMPLETE,-0.30699058703335036,-0.29034992246360397,2026-08-09 21:55:34.188752,2026-08-09 21:55:37.952380,3.763628,0.00013289448722869195,0.9699098521619943
6,COMPLETE,-0.2904192359033346,-0.29034992246360397,2026-08-09 21:55:37.958591,2026-08-09 21:56:37.329459,59.370868,9.877700294007917,0.21233911067827616
7,COMPLETE,-0.29649337077613047,-0.29034992246360397,2026-08-09 21:56:37.335538,2026-08-09 21:57:03.237230,25.901692,0.0012329623163659848,0.18340450985343382
8,COMPLETE,-0.2943848650356937,-0.29034992246360397,2026-08-09 21:57:03.243729,2026-08-09 21:57:45.433095,42.189366,0.006690421166498805,0.5247564316322378
9,COMPLETE,-0.29069526177535937,-0.29034992246360397,2026-08-09 21:57:45.443321,2026-08-09 21:58:27.758942,42.315621,0.039054412752107935,0.2912291401980419
10,COMPLETE,-0.2904052441311607,-0.29034992246360397,2026-08-09 21:58:27.764939,2026-08-09 21:59:22.006089,54.24115,0.4668766459170668,0.0059971829558171375
11,COMPLETE,-0.2904017298981033,-0.29034992246360397,2026-08-09 21:59:22.011916,2026-08-09 22:00:11.661744,49.649828,0.35958183785922077,0.012406500704542616
12,COMPLETE,-0.2903383632100361,-0.2903383632100361,2026-08-09 22:00:11.667981,2026-08-09 22:01:01.367405,49.699424,0.3053259008666383,0.6814215464087784
13,COMPLETE,-0.2904203015871854,-0.2903383632100361,2026-08-09 22:01:01.373659,2026-08-09 22:01:54.989900,53.616241,37.34425321270594,0.695782079171106
14,COMPLETE,-0.29033197299293156,-0.29033197299293156,2026-08-09 22:01:54.998203,2026-08-09 22:02:44.225147,49.226944,0.1929076481934829,0.7384055447250208
15,PRUNED,-0.2907648185199026,-0.29033197299293156,2026-08-09 22:02:44.231102,2026-08-09 22:03:10.855787,26.624685,0.09281626571143972,0.44162093839914374
16,COMPLETE,-0.29041010932801115,-0.29033197299293156,2026-08-09 22:03:10.862177,2026-08-09 22:04:02.519369,51.657192,3.6622974927649206,0.7919254141738935
17,COMPLETE,-0.29035242004309036,-0.29033197299293156,2026-08-09 22:04:02.525300,2026-08-09 22:04:49.537076,47.011776,0.1255821804451089,0.3973622993709499
18,COMPLETE,-0.29039939289342953,-0.29033197299293156,2026-08-09 22:04:49.542988,2026-08-09 22:05:46.406249,56.863261,1.4933884259752532,0.6347489264145124
19,PRUNED,-0.2966261184096515,-0.29033197299293156,2026-08-09 22:05:46.412339,2026-08-09 22:05:52.587662,6.175323,0.003998954268898118,0.7873611081097653
20,PRUNED,-0.29097145045106276,-0.29033197299293156,2026-08-09 22:05:52.593445,2026-08-09 22:06:15.122560,22.529115,29.614222791073004,0.527778893030032
21,COMPLETE,-0.2903548565421533,-0.29033197299293156,2026-08-09 22:06:15.128857,2026-08-09 22:07:12.477516,57.348659,0.451276980235336,0.7206017541148383
22,PRUNED,-0.29078739125461195,-0.29033197299293156,2026-08-09 22:07:12.484078,2026-08-09 22:07:42.230148,29.74607,0.12815170003949622,0.8482295905589402
23,RUNNING,,-0.29033197299293156,2026-08-09 22:07:42.250438,,,1.0913372066048164,0.6738641489405023
24,COMPLETE,-0.29039198173163716,-0.29033197299293156,2026-08-10 02:55:20.078426,2026-08-10 02:57:08.828723,108.750297,1.1524470339705029,0.6871024673367865
25,PRUNED,-0.29096874307787723,-0.29033197299293156,2026-08-10 02:57:08.856671,2026-08-10 02:57:51.307385,42.450714,7.860545892077309,0.5426244712891439
26,PRUNED,-0.29182261926888053,-0.29033197299293156,2026-08-10 02:57:51.328299,2026-08-10 02:59:17.711720,86.383421,0.033829971697376636,0.7658443651004038
27,COMPLETE,-0.2903248205682004,-0.2903248205682004,2026-08-10 02:59:17.736495,2026-08-10 03:01:14.910003,117.173508,0.2714059600429928,0.8824179007324644
28,PRUNED,-0.29120498883896717,-0.2903248205682004,2026-08-10 03:01:14.937625,2026-08-10 03:02:13.473319,58.535694,0.06591238522953408,0.8967327039882943
29,PRUNED,-0.2907798305517562,-0.2903248205682004,2026-08-10 03:01:44.161430,2026-08-10 03:02:45.778817,61.617387,0.138574022195172,0.9085574323810061
30,PRUNED,-0.29365400986532114,-0.2903248205682004,2026-08-10 03:02:13.502180,2026-08-10 03:02:54.884621,41.382441,0.01117151315968708,0.617454472993021
31,PRUNED,-0.2940845748216835,-0.2903248205682004,2026-08-10 03:02:45.823890,2026-08-10 03:03:16.963588,31.139698,0.011768451914156612,0.9504752948963577
32,PRUNED,-0.29288134545901967,-0.2903248205682004,2026-08-10 03:02:54.908469,2026-08-10 03:03:41.155073,46.246604,0.02125514024425913,0.9791013338716419
33,COMPLETE,-0.2903282804858998,-0.2903248205682004,2026-08-10 03:03:16.988650,2026-08-10 03:04:59.864581,102.875931,0.2717233621597917,0.8021998681801722
34,COMPLETE,-0.2903339781337351,-0.2903248205682004,2026-08-10 03:03:41.184753,2026-08-10 03:05:25.023588,103.838835,0.30621305492365664,0.7394019038823934
35,COMPLETE,-0.2903813694629872,-0.2903248205682004,2026-08-10 03:04:59.888518,2026-08-10 03:06:43.935631,104.047113,0.9486538300176491,0.830579273785123
36,COMPLETE,-0.2903827736412663,-0.2903248205682004,2026-08-10 03:05:25.048686,2026-08-10 03:07:09.675670,104.626984,0.9753562675416196,0.8156639335535469
37,PRUNED,-0.290962461033257,-0.2903248205682004,2026-08-10 03:06:43.960480,2026-08-10 03:07:22.727779,38.767299,2.9374155980789722,0.7590900957110285
38,PRUNED,-0.2909656914067329,-0.2903248205682004,2026-08-10 03:07:09.704705,2026-08-10 03:07:50.490990,40.786285,4.677764395203936,0.746978330575085
39,COMPLETE,-0.2903290432639226,-0.2903248205682004,2026-08-10 03:07:22.753960,2026-08-10 03:09:04.707686,101.953726,0.22382223708807802,0.9127513810713774
40,COMPLETE,-0.29032520650979415,-0.2903248205682004,2026-08-10 03:07:50.516407,2026-08-10 03:09:33.343546,102.827139,0.24357416264264722,0.9009127118777123
41,PRUNED,-0.29133049954915713,-0.2903248205682004,2026-08-10 03:09:04.733912,2026-08-10 03:10:07.779790,63.045878,0.05943845587123166,0.9102644884477605
42,PRUNED,-0.2915436263919613,-0.2903248205682004,2026-08-10 03:09:33.364526,2026-08-10 03:10:33.296536,59.93201,0.04946860558953399,0.9151713419940407
43,COMPLETE,-0.29033102713139497,-0.2903248205682004,2026-08-10 03:10:07.804310,2026-08-10 03:11:49.423906,101.619596,0.2110511014115489,0.8698675948932951
44,COMPLETE,-0.2903630657793619,-0.2903248205682004,2026-08-10 03:10:33.320372,2026-08-10 03:12:17.731347,104.410975,0.7107867986996843,0.9893187948824228
45,COMPLETE,-0.29035189408662176,-0.2903248205682004,2026-08-10 03:11:49.448920,2026-08-10 03:13:34.611156,105.162236,0.5809524435767321,0.9990183670627213
46,COMPLETE,-0.29032846980942306,-0.2903248205682004,2026-08-10 03:12:17.748959,2026-08-10 03:14:00.691568,102.942609,0.22207420781282788,0.8536291410192535
47,PRUNED,-0.29071647459456756,-0.2903248205682004,2026-08-10 03:13:34.638199,2026-08-10 03:14:34.927369,60.28917,0.1832160820864065,0.8677034704362945
48,PRUNED,-0.2909597599737697,-0.2903248205682004,2026-08-10 03:14:00.716397,2026-08-10 03:14:38.744195,38.027798,2.2444891434034084,0.8533484429581398
49,PRUNED,-0.29095849964070075,-0.2903248205682004,2026-08-10 03:14:34.953012,2026-08-10 03:15:12.640827,37.687815,2.0643629467482136,0.9362981171143246
50,PRUNED,-0.2909720547256532,-0.2903248205682004,2026-08-10 03:14:38.767720,2026-08-10 03:15:21.480220,42.7125,99.12304431814076,0.9436642787285167
51,PRUNED,-0.29193875459804963,-0.2903248205682004,2026-08-10 03:15:12.661162,2026-08-10 03:16:43.351081,90.689919,0.03322822603009888,0.8248301072068323
52,PRUNED,-0.29711804156451704,-0.2903248205682004,2026-08-10 03:15:21.500351,2026-08-10 03:15:30.839180,9.338829,0.0022286380385238163,0.6605668236007634
53,COMPLETE,-0.2903245002490386,-0.2903245002490386,2026-08-10 03:16:43.378485,2026-08-10 03:18:52.133667,128.755182,0.2654692758681348,0.8911291391320917
