trial,state,objective_neg_log_loss,best_so_far,datetime_start,datetime_complete,duration_seconds,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bytree,param_reg_lambda
0,COMPLETE,-0.38311728652740856,-0.38311728652740856,2026-08-09 20:37:37.274628,2026-08-09 20:38:32.987833,55.713205,600,0.2536999076681772,8,6.009974718380312,0.6624074561769746,0.662397808134481,0.0017073967431528124
1,COMPLETE,-0.35238610846068863,-0.35238610846068863,2026-08-09 20:38:32.996755,2026-08-09 20:39:54.242068,81.245313,1100,0.07725378389307355,8,1.0636066512540283,0.9879639408647978,0.9329770563201687,0.0070689749506246055
2,COMPLETE,-0.28710342674210537,-0.28710342674210537,2026-08-09 20:39:54.249545,2026-08-09 20:40:20.982697,26.733152,400,0.018659959624904916,5,4.816414530907083,0.7727780074568463,0.7164916560792167,0.2801635158716261
3,COMPLETE,-0.2871360053619604,-0.28710342674210537,2026-08-09 20:40:20.990266,2026-08-09 20:40:41.572397,20.582131,300,0.027010527749605478,5,3.920673972242136,0.9140703845572055,0.6798695128633439,0.11400863701127326
4,COMPLETE,-0.2874282956370944,-0.28710342674210537,2026-08-09 20:40:41.580592,2026-08-09 20:41:44.918798,63.338206,800,0.011711509955524094,7,1.6666983286066417,0.6260206371941118,0.9795542149013333,7.2866537374910445
5,COMPLETE,-0.28787426249112535,-0.28710342674210537,2026-08-09 20:41:44.926305,2026-08-09 20:42:37.093548,52.167243,1000,0.028180680291847244,3,7.766184280392884,0.7760609974958406,0.6488152939379115,0.09565499215943825
6,COMPLETE,-0.29685601706705617,-0.28710342674210537,2026-08-09 20:42:37.101204,2026-08-09 20:42:52.943539,15.842335,200,0.22038218939289875,5,7.277150634170934,0.7246844304357644,0.8080272084711243,0.1537592023548176
7,COMPLETE,-0.32749476410256906,-0.28710342674210537,2026-08-09 20:42:52.950882,2026-08-09 20:43:31.175594,38.224712,400,0.27051668818999286,9,16.684619386293466,0.9579309401710595,0.8391599915244341,4.869640941520899
8,COMPLETE,-0.28982711873781086,-0.28710342674210537,2026-08-09 20:43:31.190016,2026-08-09 20:43:46.048235,14.858219,200,0.01947558230629543,3,2.6501137707458966,0.7554709158757928,0.7085396127095583,2.0651425578959257
9,COMPLETE,-0.28737663354531345,-0.28710342674210537,2026-08-09 20:43:46.055418,2026-08-09 20:44:27.407393,41.351975,500,0.026000059117302653,7,1.5252697030515172,0.9208787923016158,0.6298202574719083,8.862326508576253
