model,operating_point,threshold,tn,fp,fn,tp,sensitivity,specificity,ppv,npv,f1,balanced_accuracy,accuracy,alert_rate,nne
parsimonious_lr,capacity,0.1201,11586,1155,1027,230,0.183,0.9093,0.1661,0.9186,0.1741,0.5462,0.8441,0.0989,6.0217
parsimonious_lr,youden,0.0881,8355,4386,659,598,0.4757,0.6558,0.12,0.9269,0.1916,0.5657,0.6396,0.3561,8.3344
parsimonious_lr,fixed_sensitivity,0.0874,7763,4978,607,650,0.5171,0.6093,0.1155,0.9275,0.1888,0.5632,0.601,0.4021,8.6585
penalised_lr,capacity,0.1431,11671,1070,967,290,0.2307,0.916,0.2132,0.9235,0.2216,0.5734,0.8545,0.0972,4.6897
penalised_lr,youden,0.0843,7858,4883,522,735,0.5847,0.6167,0.1308,0.9377,0.2138,0.6007,0.6139,0.4013,7.6435
penalised_lr,fixed_sensitivity,0.0952,9061,3680,646,611,0.4861,0.7112,0.1424,0.9335,0.2203,0.5986,0.691,0.3065,7.0229
random_forest,capacity,0.1483,11761,980,954,303,0.2411,0.9231,0.2362,0.925,0.2386,0.5821,0.8618,0.0917,4.2343
random_forest,youden,0.1053,9684,3057,672,585,0.4654,0.7601,0.1606,0.9351,0.2388,0.6127,0.7336,0.2602,6.2256
random_forest,fixed_sensitivity,0.1316,11296,1445,873,384,0.3055,0.8866,0.21,0.9283,0.2489,0.596,0.8344,0.1307,4.763
xgboost,capacity,0.1483,11729,1012,951,306,0.2434,0.9206,0.2322,0.925,0.2377,0.582,0.8598,0.0942,4.3072
xgboost,youden,0.0987,9164,3577,631,626,0.498,0.7193,0.1489,0.9356,0.2293,0.6086,0.6994,0.3003,6.7141
xgboost,fixed_sensitivity,0.1256,10969,1772,837,420,0.3341,0.8609,0.1916,0.9291,0.2435,0.5975,0.8136,0.1566,5.219
lightgbm,capacity,0.1468,11760,981,941,316,0.2514,0.923,0.2436,0.9259,0.2475,0.5872,0.8627,0.0927,4.1044
lightgbm,youden,0.1022,9500,3241,666,591,0.4702,0.7456,0.1542,0.9345,0.2323,0.6079,0.7209,0.2738,6.4839
lightgbm,fixed_sensitivity,0.1289,11230,1511,870,387,0.3079,0.8814,0.2039,0.9281,0.2453,0.5946,0.8299,0.1356,4.9044
