analysis,arm,auroc,auprc,auprc_baseline,log_loss,calibration_slope,calibration_intercept,brier,brier_scaled,ici,mean_predicted_risk,n_development,n_holdout
imbalance,none,0.6577,0.1883,0.0898,0.2867,1.0031,0.0133,0.0785,0.0396,0.0037,0.0888,,
imbalance,class_weight,0.6504,0.1826,0.0898,0.5953,1.0217,-2.155,0.2035,-1.4899,0.3412,0.4323,,
imbalance,smote,0.6538,0.1882,0.0898,0.2875,1.0638,-0.0718,0.0787,0.0375,0.007,0.0956,,
imbalance,undersample,0.6489,0.1673,0.0898,0.6521,0.8827,-2.3248,0.2293,-1.8056,0.3744,0.4653,,
missing_data,explicit_category,0.6577,0.1883,0.0898,0.2867,1.0031,0.0133,0.0785,0.0396,0.0037,0.0888,55989.0,13998.0
missing_data,complete_case,0.633,0.1612,0.0813,0.2724,0.7919,0.0399,0.0727,0.0258,0.011,0.0784,14193.0,3532.0
payer_code,included,0.6577,0.1883,0.0898,0.2867,1.0031,0.0133,0.0785,0.0396,0.0037,0.0888,,
payer_code,excluded,0.6557,0.182,0.0898,0.2875,0.9871,0.0134,0.0787,0.0366,0.0027,0.0888,,
glycemic,included,0.6577,0.1883,0.0898,0.2867,1.0031,0.0133,0.0785,0.0396,0.0037,0.0888,,
glycemic,excluded,0.6582,0.1901,0.0898,0.2864,1.0076,0.0126,0.0784,0.0408,0.0038,0.0888,,
